epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,80303.8,0.71177,0.31294,0.92228,0.99768,0.999,0.99488,0.88089,0.58669,0.24865,0.89986,0.0008516,0.0008516,0.0008516
60,81542.1,0.69454,0.31042,0.91892,0.99527,0.999,0.99476,0.87929,0.58521,0.24852,0.89949,0.0008318,0.0008318,0.0008318
61,82773.7,0.69343,0.30867,0.92194,0.99701,0.99888,0.99485,0.88302,0.57378,0.24506,0.89847,0.000812,0.000812,0.000812
62,83996.8,0.69374,0.30538,0.91821,0.99689,0.999,0.99483,0.88412,0.56423,0.24288,0.89282,0.0007922,0.0007922,0.0007922
63,85235.6,0.68521,0.30057,0.91435,0.99686,0.999,0.99489,0.88521,0.56459,0.23852,0.89401,0.0007724,0.0007724,0.0007724
64,86466.8,0.69741,0.30847,0.92351,0.99677,0.999,0.99483,0.88244,0.57055,0.24326,0.89424,0.0007526,0.0007526,0.0007526
65,87703.9,0.67998,0.29991,0.91679,0.99677,0.999,0.99481,0.88638,0.56223,0.23897,0.89234,0.0007328,0.0007328,0.0007328
66,89031.6,0.68503,0.30021,0.91781,0.99763,0.999,0.99486,0.88935,0.5545,0.23695,0.88808,0.000713,0.000713,0.000713
67,90608.6,0.6888,0.29998,0.9197,0.99795,0.999,0.99481,0.88792,0.55676,0.23539,0.89,0.0006932,0.0006932,0.0006932
68,91907.2,0.68384,0.29737,0.91655,0.99792,0.999,0.99483,0.88885,0.55648,0.23404,0.88978,0.0006734,0.0006734,0.0006734
69,93137,0.67941,0.2962,0.91711,0.99701,0.99897,0.99483,0.88897,0.55468,0.23514,0.8887,0.0006536,0.0006536,0.0006536
70,94370.9,0.68072,0.29665,0.91594,0.99787,0.999,0.99482,0.88935,0.54721,0.23253,0.88363,0.0006338,0.0006338,0.0006338
71,95601.8,0.67744,0.29363,0.91485,0.99687,0.999,0.99486,0.89207,0.5436,0.22857,0.88154,0.000614,0.000614,0.000614
72,96823.7,0.6784,0.29424,0.91145,0.9979,0.999,0.99486,0.88977,0.54093,0.22899,0.88381,0.0005942,0.0005942,0.0005942
73,98046.9,0.68054,0.29467,0.91596,0.99787,0.999,0.99491,0.88801,0.54405,0.23118,0.88463,0.0005744,0.0005744,0.0005744
74,99249.4,0.66712,0.28872,0.9116,0.99689,0.999,0.99493,0.89096,0.53993,0.22845,0.88467,0.0005546,0.0005546,0.0005546
75,100459,0.6639,0.28699,0.90812,0.99783,0.999,0.99492,0.89619,0.52851,0.22405,0.87931,0.0005348,0.0005348,0.0005348
76,101669,0.67143,0.28747,0.91298,0.99602,0.99984,0.99494,0.89459,0.52829,0.22468,0.87904,0.000515,0.000515,0.000515
77,102894,0.67243,0.28711,0.91318,0.99657,0.999,0.99482,0.89478,0.53083,0.22451,0.87887,0.0004952,0.0004952,0.0004952
78,104125,0.67393,0.28581,0.91498,0.99674,0.999,0.9943,0.89509,0.52899,0.22587,0.87939,0.0004754,0.0004754,0.0004754
79,105347,0.67268,0.28624,0.91339,0.99664,0.999,0.99487,0.89538,0.53108,0.22362,0.88006,0.0004556,0.0004556,0.0004556
80,106592,0.67173,0.28251,0.90892,0.99683,0.999,0.99489,0.89499,0.53443,0.22321,0.88138,0.0004358,0.0004358,0.0004358
81,108184,0.66121,0.28182,0.90956,0.99688,0.999,0.99447,0.89505,0.52468,0.21952,0.87674,0.000416,0.000416,0.000416
82,109343,0.67111,0.28369,0.91181,0.99673,0.999,0.99474,0.89814,0.52057,0.21898,0.87579,0.0003962,0.0003962,0.0003962
83,110477,0.66222,0.27802,0.90811,0.99673,0.999,0.99463,0.89831,0.51666,0.21627,0.8737,0.0003764,0.0003764,0.0003764
84,111658,0.6598,0.27733,0.908,0.99656,0.999,0.99475,0.89849,0.52007,0.21674,0.87333,0.0003566,0.0003566,0.0003566
85,112786,0.6596,0.27728,0.91302,0.99688,0.999,0.99486,0.89846,0.51588,0.21617,0.87217,0.0003368,0.0003368,0.0003368
86,113898,0.66406,0.27806,0.90975,0.99694,0.999,0.99483,0.89733,0.51922,0.21689,0.87338,0.000317,0.000317,0.000317
87,115049,0.66214,0.27445,0.90894,0.99692,0.999,0.9947,0.89665,0.51413,0.21534,0.87191,0.0002972,0.0002972,0.0002972
88,116195,0.646,0.27074,0.90668,0.99687,0.999,0.99449,0.89576,0.51461,0.21429,0.87217,0.0002774,0.0002774,0.0002774
89,117338,0.64832,0.27075,0.90676,0.99699,0.999,0.9948,0.89894,0.51107,0.21296,0.87065,0.0002576,0.0002576,0.0002576
90,118482,0.65032,0.2721,0.90314,0.99683,0.999,0.9949,0.89888,0.51267,0.21236,0.8702,0.0002378,0.0002378,0.0002378
91,119617,0.63242,0.23853,0.89476,0.99696,0.999,0.99489,0.896,0.52028,0.21691,0.87219,0.000218,0.000218,0.000218
92,120757,0.62596,0.23669,0.89109,0.99777,0.999,0.99491,0.89745,0.51629,0.21535,0.8713,0.0001982,0.0001982,0.0001982
93,121895,0.62067,0.23541,0.88904,0.99763,0.999,0.99491,0.89638,0.51557,0.21412,0.86996,0.0001784,0.0001784,0.0001784
94,123038,0.62388,0.23456,0.88936,0.99793,0.999,0.99493,0.89826,0.51246,0.2148,0.86827,0.0001586,0.0001586,0.0001586
95,124207,0.61988,0.2313,0.88907,0.99794,0.999,0.99492,0.90123,0.50786,0.21295,0.86567,0.0001388,0.0001388,0.0001388
96,125370,0.61997,0.23154,0.89228,0.99808,0.999,0.99493,0.90198,0.504,0.21203,0.86471,0.000119,0.000119,0.000119
97,126500,0.61625,0.2293,0.88908,0.99798,0.999,0.99492,0.90097,0.50382,0.21219,0.86476,9.92e-05,9.92e-05,9.92e-05
98,127617,0.61725,0.22835,0.88974,0.998,0.99996,0.99494,0.90264,0.50223,0.2107,0.86453,7.94e-05,7.94e-05,7.94e-05
99,128740,0.61118,0.22555,0.88837,0.998,0.99992,0.99495,0.90168,0.49874,0.21043,0.8633,5.96e-05,5.96e-05,5.96e-05
100,129863,0.61224,0.22573,0.88905,0.998,0.99992,0.99495,0.90328,0.49836,0.20992,0.86308,3.98e-05,3.98e-05,3.98e-05
